Collision Reference No.,Number of Vehicles
1,3
2,2
3,2
4,1
5,2
6,2
7,2
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,2
17,2
18,1
19,3
20,2
21,1
22,2
23,2
24,2
25,2
26,5
27,2
28,2
29,2
30,2
31,1
32,2
33,2
34,1
35,2
36,2
37,1
38,2
39,2
40,2
41,1
42,2
43,2
44,3
45,1
46,1
47,2
48,2
49,1
50,1
51,2
52,3
53,1
54,2
55,2
56,2
57,2
58,2
59,2
60,1
61,1
62,1
63,2
64,1
65,1
66,2
67,2
68,2
69,2
70,3
71,2
72,1
73,2
74,2
75,1
76,1
77,2
78,2
79,3
80,2
81,1
82,2
83,1
84,1
85,2
86,2
87,2
88,1
89,2
90,1
91,2
92,2
93,1
94,2
95,2
96,2
97,3
98,2
99,2
100,3
101,4
102,1
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,4
111,2
112,1
113,2
114,2
115,2
116,2
117,1
118,2
119,3
120,3
121,2
122,2
123,1
124,2
125,1
126,2
127,1
128,2
129,1
130,1
131,1
132,2
133,1
134,2
135,2
136,2
137,2
138,1
139,2
140,2
141,3
142,1
143,2
144,2
145,2
146,1
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,1
156,2
157,1
158,3
159,2
160,2
161,2
162,1
163,2
164,1
165,2
166,1
167,2
168,2
169,1
170,1
171,1
172,2
173,1
174,2
175,2
176,2
177,2
178,1
179,2
180,3
181,2
182,2
183,2
184,1
185,2
186,2
187,2
188,2
189,2
190,2
191,1
192,1
193,1
194,1
195,2
196,1
197,2
198,1
199,2
200,1
201,3
202,1
203,2
204,1
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,1
214,2
215,2
216,2
217,2
218,3
219,2
220,2
221,2
222,2
223,2
224,3
225,2
226,2
227,1
228,2
229,2
230,2
231,1
232,2
233,1
234,3
235,2
236,2
237,1
238,2
239,2
240,2
241,2
242,2
243,2
244,1
245,2
246,2
247,2
248,1
249,2
250,2
251,2
252,1
253,1
254,2
255,2
256,1
257,2
258,2
259,2
260,1
261,1
262,1
263,2
264,1
265,2
266,2
267,3
268,1
269,1
270,3
271,1
272,2
273,2
274,2
275,2
276,3
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,1
286,2
287,2
288,2
289,2
290,1
291,2
292,1
293,1
294,2
295,2
296,5
297,1
298,1
299,3
300,2
301,3
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,1
310,1
311,1
312,1
313,1
314,3
315,2
316,1
317,2
318,1
319,1
320,2
321,2
322,2
323,1
324,4
325,5
326,2
327,2
328,1
329,2
330,2
331,1
332,2
333,1
334,1
335,2
336,2
337,1
338,2
339,1
340,2
341,1
342,1
343,3
344,2
345,2
346,2
347,2
348,2
349,1
350,2
351,2
352,1
353,1
354,1
355,1
356,2
357,2
358,4
359,1
360,2
361,2
362,1
363,1
364,2
365,3
366,2
367,1
368,1
369,1
370,2
371,3
372,2
373,2
374,2
375,2
376,2
377,2
378,1
379,2
380,2
381,2
382,2
383,1
384,2
385,2
386,2
387,2
388,2
389,2
390,1
391,1
392,2
393,2
394,2
395,2
396,1
397,2
398,2
399,1
400,2
401,1
402,3
403,2
404,1
405,1
406,1
407,1
408,2
409,1
410,2
